date,subway,COVID-19,COVID-19 KOR
2021-03-23,13295039,137,346
2021-03-24,13383983,127,428
2021-03-25,13472442,121,430
2021-03-26,14002764,127,489
2021-03-27,8691750,138,505
2021-03-28,6029417,107,482
2021-03-29,13016975,145,382
2021-03-30,13369284,158,447
2021-03-31,13571428,199,506
2021-04-01,13517161,166,551
2021-04-02,14017145,155,557
2021-04-03,7933037,149,543
2021-04-04,6620642,152,543
2021-04-05,13252550,147,473
2021-04-06,13457668,198,477
2021-04-07,13366326,244,668
2021-04-08,13409513,215,700
2021-04-09,13867385,201,671
2021-04-10,9517598,214,677
2021-04-11,6794143,162,614
2021-04-12,12595879,158,587
2021-04-13,13113892,247,542
2021-04-14,13288351,217,731
2021-04-15,13286466,216,698
2021-04-16,13221433,217,673
2021-04-17,8877479,204,658
2021-04-18,6548781,137,671
2021-04-19,12901156,148,532
2021-04-20,13274193,218,549
2021-04-21,13348450,230,731
2021-04-22,13236725,204,735
2021-04-23,13639403,253,797
2021-04-24,9229348,175,785
2021-04-25,6668837,154,644
2021-04-26,13137959,116,499
2021-04-27,13261758,257,512
2021-04-28,13360314,227,769
2021-04-29,13407400,227,679
2021-04-30,13807634,195,661
2021-05-01,8542175,182,627
2021-05-02,6872022,127,606
2021-05-03,13300803,184,488
2021-05-04,13059992,238,541
2021-05-05,7936940,212,676
2021-05-06,13484235,179,574
2021-05-07,13533323,242,525
2021-05-08,8206414,195,701
2021-05-09,6849440,141,564
2021-05-10,12879847,163,463
2021-05-11,13604630,222,510
2021-05-12,13654763,227,634
2021-05-13,13604412,231,715
2021-05-14,14189734,254,747
2021-05-15,9054012,213,681
2021-05-16,5538956,195,610
2021-05-17,12883795,172,619
2021-05-18,14063492,249,528
2021-05-19,8517531,242,654
2021-05-20,13165604,172,646
2021-05-21,13687234,208,561
2021-05-22,9735932,181,666
2021-05-23,6819551,139,585
2021-05-24,13263281,138,530
2021-05-25,13317475,261,516
2021-05-26,13642545,218,705
2021-05-27,13027580,214,629
2021-05-28,13392878,194,587
